Postcode District,0-19,20-39,40-59,60-79,80+,All Ages
BT1,*,*,*,*,*,2410
BT2,*,*,*,*,*,1050
BT3,*,*,*,*,*,850
BT4,5910,7030,6990,4600,1440,25970
BT5,9220,10960,10470,6720,2140,39510
BT6,7050,9600,8290,4710,1570,31220
BT7,4320,9900,4210,2180,550,21150
BT8,7190,7380,8590,5340,1510,30010
BT9,6020,12570,5260,3600,1130,28580
BT10,2950,3220,3490,2390,650,12700
BT11,6830,7130,6930,5110,1440,27430
BT12,8100,9260,6860,3960,900,29090
BT13,6450,6560,5810,4120,1280,24200
BT14,9770,9270,8300,5040,1170,33550
BT15,6500,7020,7100,4550,1280,26440
BT16,4020,4590,4950,3010,850,17410
BT17,10450,9560,8270,4790,1010,34070
BT18,3130,2980,3580,3080,840,13600
BT19,9220,8460,10420,8470,1750,38320
BT20,5390,5640,7010,6040,1750,25830
BT21,1580,1430,2160,2060,540,7760
BT22,5480,4850,6310,5010,890,22540
BT23,12930,13170,15350,11750,2530,55720
BT24,4730,4240,5230,3670,940,18820
BT25,4330,3690,4600,2550,600,15760
BT26,2050,1690,2680,2100,530,9040
BT27,5210,5510,5920,4680,1160,22480
BT28,11720,12230,11690,7390,1720,44750
BT29,4390,3710,4020,2050,360,14520
BT30,9080,8580,9160,6510,1370,34700
BT31,2680,2330,2510,1480,420,9430
BT32,6860,6440,7360,4660,1150,26460
BT33,2680,2440,2840,2410,630,10990
BT34,17320,16180,16680,10400,2490,63080
BT35,14520,12690,12170,7080,1480,47930
BT36,12040,12350,12310,8420,1970,47080
BT37,6440,6780,7070,4700,1370,26350
BT38,9540,9500,11850,8360,1940,41190
BT39,5910,5360,6910,4770,1110,24050
BT40,6000,6120,7450,5640,1320,26520
BT41,11340,10690,11410,7360,1580,42380
BT42,8750,8900,9910,7020,1730,36310
BT43,5800,5750,6020,4380,1250,23200
BT44,6550,6230,6850,4580,1000,25210
BT45,10450,9830,9700,5780,1370,37130
BT46,3280,2960,2880,1910,420,11440
BT47,16480,15670,17140,10100,2080,61460
BT48,17050,16380,15760,9840,1710,60730
BT49,5840,5820,6720,4310,1000,23680
BT51,6680,5810,7610,5310,1130,26540
BT52,4470,4560,4440,3340,940,17740
BT53,6520,6220,7220,4770,1140,25880
BT54,1960,1780,2160,1760,390,8050
BT55,1530,2440,1890,1860,500,8210
BT56,1500,1330,2070,1540,390,6820
BT57,870,790,1120,1150,250,4170
BT60,9570,8250,8250,5300,1150,32520
BT61,4120,4070,4380,3020,760,16350
BT62,9190,9180,8690,5590,1270,33930
BT63,5610,5650,5690,3960,900,21800
BT64,*,*,*,*,*,2430
BT65,2620,2320,1990,1090,130,8140
BT66,9290,9570,9460,5880,1430,35610
BT67,6510,6110,6780,4060,780,24240
BT68,*,*,*,*,*,990
BT69,710,680,690,410,110,2590
BT70,6280,5900,5480,3290,750,21700
BT71,12560,11810,11050,6330,1410,43160
BT74,4460,4190,4750,3290,860,17540
BT75,950,930,980,680,160,3700
BT76,*,*,*,*,*,2030
BT77,*,*,*,*,*,1600
BT78,8140,7440,8210,5530,1110,30430
BT79,7550,6950,7260,4710,1150,27610
BT80,6580,6520,6350,4100,960,24510
BT81,1960,1970,2120,1420,390,7860
BT82,7230,6510,7360,4700,990,26800
BT92,4800,4070,4430,3150,740,17190
BT93,2800,2610,2980,2350,550,11280
BT94,4270,3670,4440,3140,630,16150
